Company_Name,New_Hires_Approved_2025,Approval_Rate_%,H1B_Priority_Score,Sponsorship_Tier,Industry,City,State,Scrape_Order,ATS_Type
GURUSCHOOLS LLC,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",PRINCETON,NJ,305,Workday/Custom (Likely)
INTERNATIONAL TECHNOLOGY SOLUTIONS,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SKILLMAN,NJ,306,Greenhouse/Lever (Likely)
MAARISOFT SOLUTIONS LLC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",PLANO,TX,307,Workday/Custom (Likely)
GSPANN TECHNOLOGIES INC,17.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",MILPITAS,CA,308,Greenhouse/Lever (Likely)
LOGIC LOOPS LLC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ALPHARETTA,GA,309,Workday/Custom (Likely)
INDOTRONIX INTERNATIONAL CORPORATION,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ROCHESTER,NY,310,Workday/Custom (Likely)
CVS PHARMACY INC,13.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,WOONSOCKET,RI,311,Workday/Custom (Likely)
ONIX NETWORKING CORP,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",WESTLAKE,OH,312,Workday/Custom (Likely)
SONATA SOFTWARE NORTH AMERICA INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",FREMONT,CA,313,Greenhouse/Lever (Likely)
AURORA OPERATIONS INC,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",PITTSBURGH,PA,314,Workday/Custom (Likely)
CUMMING MANAGEMENT GROUP INC D B A CUMMING CORPORATION,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SAN DIEGO,CA,315,Workday/Custom (Likely)
CREDIT KARMA LLC,13.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",OAKLAND,CA,316,Workday/Custom (Likely)
COHESITY INC,13.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SAN JOSE,CA,317,Workday/Custom (Likely)
EMAESTRO TECHNOLOGIES INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",PARSIPPANY,NJ,318,Greenhouse/Lever (Likely)
INTERCONTINENTAL EXCHANGE HOLDINGS INC,19.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,ATLANTA,GA,319,Workday/Custom (Likely)
BARCLAYS SERVICES LLC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,NEW YORK,NY,320,Workday/Custom (Likely)
INTELLECTT INC,19.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ISELIN,NJ,321,Workday/Custom (Likely)
BANK OF CHINA,14.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,NEW YORK,NY,322,Workday (Likely)
SPOTIFY USA INC,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),51 - Information,NEW YORK,NY,323,Workday/Custom (Likely)
AIG PC GLOBAL SERVICES INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,JERSEY CITY,NJ,324,Workday/Custom (Likely)
AURORA ENERGY RESEARCH LLC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",AUSTIN,TX,325,Workday/Custom (Likely)
INTELLISOFT SYSTEMS LLC,16.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ALPHARETTA,GA,326,Workday/Custom (Likely)
SK TECHNOLOGIES INC - DE,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",NEWARK,DE,327,Greenhouse/Lever (Likely)
BANCO SANTANDER S A NEW YORK BRANCH,15.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,NEW YORK,NY,328,Unknown
SCHRODINGER INC,16.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,329,Workday/Custom (Likely)
EQUINIX INC,16.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",REDWOOD CITY,CA,330,Workday/Custom (Likely)
TACHYON TECHNOLOGIES LLC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SOUTHLAKE,TX,331,Greenhouse/Lever (Likely)
VALUELABS INC,16.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",CHICAGO,IL,332,Workday/Custom (Likely)
AXTRIA INC,17.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",BERKELEY HEIGHTS,NJ,333,Workday/Custom (Likely)
CNET GLOBAL SOLUTIONS INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",RICHARDSON,TX,334,Workday/Custom (Likely)
SQUAREPOINT SERVICES US LLC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,NEW YORK,NY,335,Workday/Custom (Likely)
COMPASS LEXECON LLC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",BOWIE,MD,336,Workday/Custom (Likely)
BAYER RESEARCH AND DEVELOPMENT SERVICES LLC,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SAINT LOUIS,MO,337,Workday/Custom (Likely)
PRICEWATERHOUSECOOPERS LLP,17.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",TAMPA,FL,338,Unknown
CITADEL ENTERPRISE AMERICAS SERVICES LLC,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,MIAMI,FL,339,Workday/Custom (Likely)
ETOS TECHNOLOGIES INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",DALLAS,TX,340,Greenhouse/Lever (Likely)
EPAM SYSTEMS INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",NEWTOWN,PA,341,Workday/Custom (Likely)
"HATCH ASSOCIATES CONSULTANTS, INC.",11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",PITTSBURGH,PA,342,Workday/Custom (Likely)
SYNERGYASSURE INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",GRAPEVINE,TX,343,Workday/Custom (Likely)
COTIVITI INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SOUTH JORDAN,UT,344,Workday/Custom (Likely)
CGG SERVICES U S INC DBA VIRIDIEN,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",HOUSTON,TX,345,Workday/Custom (Likely)
HOLTEC INTERNATIONAL,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",CAMDEN,NJ,346,Unknown
MARSH USA LLC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,NEW YORK,NY,347,Workday/Custom (Likely)
OKTA INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SAN FRANCISCO,CA,348,Workday/Custom (Likely)
SOFTWORLD TECHNOLOGIES LLC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",DES MOINES,IA,349,Greenhouse/Lever (Likely)
MOLOCO INC,19.0,95.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",REDWOOD CITY,CA,350,Workday/Custom (Likely)
CHARTER COMMUNICATIONS INC,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),51 - Information,ST LOUIS,MO,351,Workday/Custom (Likely)
MASE INSIGHTS LLC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",MIDDLETOWN,PA,352,Workday/Custom (Likely)
COMMURE INC,16.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",MOUNTAIN VIEW,CA,353,Workday/Custom (Likely)
ECLINICALWORKS LLC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",WESTBOROUGH,MA,354,Workday/Custom (Likely)
INFODAT INTERNATIONAL INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",HOUSTON,TX,355,Workday/Custom (Likely)
EQUITAS IT INC,13.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",FRISCO,TX,356,Workday/Custom (Likely)
SBAS IT SYSTEMS INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",DALLAS,TX,357,Workday/Custom (Likely)
FRESHFIELDS US LLP,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,358,Unknown
CORPORATE SOLUTIONS GENERAL INC,14.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",HOUSTON,TX,359,Workday/Custom (Likely)
AGILETAL TECHNOLOGIES INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",MIDDLESEX,NJ,360,Greenhouse/Lever (Likely)
SAIPSIT INC,15.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",HOUSTON,TX,361,Workday/Custom (Likely)
CVTECH INNOVATIONS LLC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",LISLE,IL,362,Greenhouse/Lever (Likely)
PI LABS INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ELLISVILLE,MO,363,Workday/Custom (Likely)
FIDELITY INVESTMENTS,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,BOSTON,MA,364,Unknown
TEKINVADERZ LLC,16.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",TEMPLE TERRACE,FL,365,Workday/Custom (Likely)
GROUPM WORLDWIDE LLC,14.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,366,Workday/Custom (Likely)
XORIANT CORPORATION,16.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SUNNYVALE,CA,367,Workday/Custom (Likely)
GUSTO INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SAN FRANCISCO,CA,368,Workday/Custom (Likely)
COLLABORATE SOLUTIONS INC.,13.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SHREWSBURY,MA,369,Workday/Custom (Likely)
AKINFOSYSTEM,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",KATY,TX,370,Unknown
NAVAN INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",PALO ALTO,CA,371,Workday/Custom (Likely)
OMD USA LLC D B A ANNALECT GROUP,14.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,372,Workday/Custom (Likely)
CSC HOLDINGS LLC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),51 - Information,LONG ISLAND CITY,NY,373,Workday/Custom (Likely)
ENVIRONMENTAL SYSTEMS RESEARCH INS,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),51 - Information,REDLANDS,CA,374,Unknown
UNITED PHARMA TECHNOLOGIES INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ISELIN,NJ,375,Greenhouse/Lever (Likely)
SLK AMERICA INC,15.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",CINCINNATI,OH,376,Workday/Custom (Likely)
AIR WORLDWIDE CORPORATION,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,BOSTON,MA,377,Workday/Custom (Likely)
ONEMAIN GENERAL SERVICES CORPORATION,17.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",EVANSVILLE,IN,378,Workday/Custom (Likely)
TMEIC CORPORATION AMERICAS,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ROANOKE,VA,379,Workday/Custom (Likely)
TECHDATUM SOLUTIONS INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",DALLAS,TX,380,Greenhouse/Lever (Likely)
CREATIVE SYNERGIES GROUP LLC,17.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",OKEMOS,MI,381,Workday/Custom (Likely)
ATHENAHEALTH INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",BOSTON,MA,382,Workday/Custom (Likely)
WEEE INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",FREMONT,CA,383,Workday/Custom (Likely)
GSK SOLUTIONS INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",KATY,TX,384,Workday/Custom (Likely)
X CORP,15.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",BASTROP,TX,385,Workday/Custom (Likely)
AKKODIS INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",AUBURN HILLS,MI,386,Workday/Custom (Likely)
PROFESSIONAL SERVICE INDUSTRIES INC D B A INTERTEK PSI,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",CORTLAND,NY,387,Workday/Custom (Likely)
ATKINSREALIS USA INC,15.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",TAMPA,FL,388,Workday/Custom (Likely)
EGURU SOLUTIONS LLC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services", INVERNESS,IL,389,Workday/Custom (Likely)
SOLUTION IT INC,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",WILMINGTON,MA,390,Workday/Custom (Likely)
CREST SOFTWARE SERVICES INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",PRINCETON,NJ,391,Greenhouse/Lever (Likely)
MAX PLANCK FLORIDA CORPORATION D B A MAX PLANCK FLORIDA INSTITUTE FOR,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",JUPITER,FL,392,Workday/Custom (Likely)
TOWER RESEARCH CAPITAL LLC,14.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,NEW YORK,NY,393,Workday (Likely)
S & V TEK SYSTEMS LLC,13.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ALPHARETTA,GA,394,Workday/Custom (Likely)
M AND T BANK,13.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,BUFFALO,NY,395,Workday (Likely)
CRAVATH SWAINE AND MOORE LLP,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,396,Unknown
NAMO TECHNOLOGIES LLC,14.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",IRVING,TX,397,Greenhouse/Lever (Likely)
FIFTH THIRD BANK NATIONAL ASSOCIATION,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,CINCINNATI,OH,398,Workday (Likely)
NATSOFT CORPORATION,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SOMERSET,NJ,399,Workday/Custom (Likely)
COHNREZNICK ADVISORY LLC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,400,Workday/Custom (Likely)
UNISOFT SOLUTIONS LLC,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SOMERVILLE,NJ,401,Workday/Custom (Likely)
"V-SOFT CONSULTING GROUP, INC.",17.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",LOUISVILLE,KY,402,Workday (Likely)
SANTANDER US CAPITAL MARKETS LLC,14.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,NEW YORK,NY,403,Workday (Likely)
VALUEPRO INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",LITTLE ROCK,AR,404,Workday/Custom (Likely)
ERP ANALYSTS INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",DUBLIN,OH,405,Workday/Custom (Likely)
PAMTEN INC,14.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",PRINCETON,NJ,406,Workday/Custom (Likely)
INDU LLC DBA INTIGROW,13.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",DULUTH,GA,407,Workday/Custom (Likely)
UNISYS CORPORATION,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),51 - Information,BLUE BELL,PA,408,Workday/Custom (Likely)
NB VENTURES INC DBA GEP,17.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",CLARK,NJ,409,Workday/Custom (Likely)
UNICON SYSTEMS INC,13.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",TAMPA,FL,410,Workday/Custom (Likely)
BERNSTEIN INSTITUTIONAL SERVICES LLC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,NEW YORK,NY,411,Workday/Custom (Likely)
OMA4 LLC,17.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",CUMMING,GA,412,Workday/Custom (Likely)
TEK LABS INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",FARMINGTON HILLS,MI,413,Workday/Custom (Likely)
BECKMAN RESEARCH INSTITUTE OF THE CITY OF HOPE,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",DUARTE,CA,414,Unknown
FORVIS MAZARS LLP,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",DALLAS,TX,415,Unknown
TORC ROBOTICS INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",BLACKSBURG,VA,416,Workday/Custom (Likely)
SMITHGROUP INC SUBSIDIARY OF SMITHGROUP CO INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",DETROIT,MI,417,Workday/Custom (Likely)
PSQUARE TECHNOLOGIES LLC,14.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",AURORA,IL,418,Greenhouse/Lever (Likely)
SPARK TECHNOLOGIES INC,15.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",HARTFORD,CT,419,Greenhouse/Lever (Likely)
NATERA INC,15.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SAN CARLOS,CA,420,Workday/Custom (Likely)
GUIDEWIRE SOFTWARE INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),51 - Information,SAN MATEO,CA,421,Greenhouse/Lever (Likely)
ERNST YOUNG US LLP,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SECAUCUS,NJ,422,Unknown
CIBC BANK USA,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,NEW YORK,NY,423,Workday (Likely)
MARLABS LLC,15.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",PISCATAWAY,NJ,424,Workday/Custom (Likely)
MASTEK INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ADDISON,TX,425,Workday/Custom (Likely)
ELEVANCE HEALTH INC,17.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,INDIANAPOLIS,IN,426,Workday/Custom (Likely)
COMPUTER SCIENCES CORPORATION,13.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ASHBURN,VA,427,Workday/Custom (Likely)
UNICODE SYSTEMS INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",HERNDON,VA,428,Workday/Custom (Likely)
BEAN INFOSYSTEMS LLC,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",MCKINNEY,TX,429,Workday/Custom (Likely)
INTERON IT SOLUTIONS LLC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",CHANTILLY,VA,430,Workday/Custom (Likely)
ELECTRONIC ARTS INC,15.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",REDWOOD CITY,CA,431,Workday/Custom (Likely)
TEC FRAMES LLC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ALPHARETTA,GA,432,Workday/Custom (Likely)
AKUNA CAPITAL LLC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,CHICAGO,IL,433,Workday (Likely)
FOURTHSQUARE LLC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),51 - Information,IRVING,TX,434,Workday/Custom (Likely)
SACROSANCTINFO LLC,14.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",FREMONT,CA,435,Workday/Custom (Likely)
NAVOINFO INC,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",ADDISON,TX,436,Workday/Custom (Likely)
COLD SPRING HARBOR LABORATORY,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",COLD SPRING HARBOR,NY,437,Unknown
SAMSUNG RESEARCH AMERICA INC,16.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",MOUNTAIN VIEW,CA,438,Workday/Custom (Likely)
ERNST AND YOUNG LLP EY GUAM,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",TAMUNING,GU,439,Unknown
SUSQUEHANNA INTERNATIONAL GROUP LLP,16.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,BALA CYNWYD,PA,440,Unknown
THE PNC FINANCIAL SERVICES GROUP INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,PITTSBURGH,PA,441,Workday (Likely)
"MODJESKI AND MASTERS, INC.",11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",MECHANICSBURG,PA,442,Workday/Custom (Likely)
RESEARCH CORPORATION OF THE UNIVERSITY OF HAWAII,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",HONOLULU,HI,443,Workday/Custom (Likely)
PEOPLE CENTER INC D B A RIPPLING,10.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SAN FRANCISCO,CA,444,Workday/Custom (Likely)
FAIR ISAAC CORPORATION,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",BOZEMAN,MT,445,Workday/Custom (Likely)
GLOBALLOGIC INC,12.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",SANTA CLARA,CA,446,Workday/Custom (Likely)
VIRTUOUS TECH INC,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",STERLING,VA,447,Greenhouse/Lever (Likely)
MOELIS AND COMPANY GROUP LP,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,NEW YORK,NY,448,Unknown
SULLIVAN AND CROMWELL LLP,11.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,449,Unknown
JUMP OPERATIONS LLC,18.0,100.0,40,Tier 4 - Occasional Sponsor (10-19 new hires),52 - Finance and Insurance,CHICAGO,IL,450,Workday/Custom (Likely)
