Company_Name,New_Hires_Approved_2025,Approval_Rate_%,H1B_Priority_Score,Sponsorship_Tier,Industry,City,State,Scrape_Order,ATS_Type
BARCLAYS SERVICES CORP,74.0,97.4,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,NEW YORK,NY,84,Workday/Custom (Likely)
CVS RX SERVICES INC,56.0,98.2,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,WOONSOCKET,RI,85,Workday/Custom (Likely)
ADP TECHNOLOGY SERVICES INC,55.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,ROSELAND,NJ,86,Greenhouse/Lever (Likely)
LAWRENCE BERKELEY NATIONAL LAB,79.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",BERKELEY,CA,87,Unknown
EXPEDIA INC,64.0,98.5,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,SEATTLE,WA,88,Workday/Custom (Likely)
SIEMENS ENERGY INC,51.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,ORLANDO,FL,89,Workday/Custom (Likely)
AECOM TECHNICAL SERVICES INC,73.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",DALLAS,TX,90,Greenhouse/Lever (Likely)
SIEMENS INDUSTRY SOFTWARE INC,57.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,PLANO,TX,91,Greenhouse/Lever (Likely)
NOKIA OF AMERICA CORPORATION,57.0,98.3,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,MURRAY HILL,NJ,92,Workday/Custom (Likely)
CITIGROUP GLOBAL MARKETS INC,68.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,NEW YORK,NY,93,Workday/Custom (Likely)
PINTEREST INC,55.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),51 - Information,SAN FRANCISCO,CA,94,Workday/Custom (Likely)
SAP AMERICA INC,69.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",NEWTOWN SQ,PA,95,Workday/Custom (Likely)
DFS CORPORATE SERVICES LLC,58.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),52 - Finance and Insurance,RIVERWOODS,IL,96,Workday/Custom (Likely)
UCHICAGO ARGONNE LLC,54.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",LEMONT,IL,97,Workday/Custom (Likely)
ADVITHRI TECHNOLOGIES LLC,52.0,98.1,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",FRISCO,TX,98,Greenhouse/Lever (Likely)
SYNOPSYS INC,99.0,99.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",SUNNYVALE,CA,99,Workday/Custom (Likely)
ANALYSIS GROUP INC,54.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",BOSTON,MA,100,Workday/Custom (Likely)
DANA-FARBER CANCER INSTITUTE,97.0,100.0,60,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",BOSTON,MA,101,Unknown
EXLSERVICE COM LLC,76.0,90.5,55,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,102,Workday/Custom (Likely)
MCKINSEY AND COMPANY INC UNITED ST,81.0,93.1,55,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",NEW YORK,NY,103,Workday/Custom (Likely)
KFORCE INC,79.0,92.9,55,Tier 2 - Medium Volume (50-99 new hires),"54 - Professional, Scientific, and Technical Services",TAMPA,FL,104,Workday/Custom (Likely)
INCEDO INC,38.0,97.4,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",FLORHAM PARK,NJ,105,Workday/Custom (Likely)
MODERNATX INC,33.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",CAMBRIDGE,MA,106,Workday/Custom (Likely)
PYRAMID CONSULTING INC,29.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",ALPHARETTA,GA,107,Workday (Likely)
TECHNOSOFT CORPORATION DBA APEXON,21.0,100.0,50,Tier 3 - Regular Sponsor (20-49 new hires),"54 - Professional, Scientific, and Technical Services",SOUTHFIELD,MI,108,Greenhouse/Lever (Likely)
